TestID,A,B,OP,Expected,Actual,Result
159,2,5,0,7,7,PASS,95.31
160,6,5,110,3,3,PASS,95.31
161,10,4,1,6,6,PASS,95.31
162,1,3,1,-2,30,FAIL,95.31
163,14,3,1,11,11,PASS,95.31
164,14,4,110,7,7,PASS,95.31
165,8,4,100,12,12,PASS,95.31
166,0,12,101,0,0,PASS,95.31
167,0,10,10,0,0,PASS,95.31
168,12,5,110,6,6,PASS,95.31
169,8,1,101,16,16,PASS,95.31
170,3,11,100,8,8,PASS,95.31
171,3,13,100,14,14,PASS,95.31
172,15,9,100,6,6,PASS,95.31
173,6,15,11,15,15,PASS,95.31
174,6,10,110,3,3,PASS,95.31
175,13,4,110,6,6,PASS,95.31
176,8,8,0,16,16,PASS,95.31
177,11,10,11,11,11,PASS,95.31
178,2,5,10,0,0,PASS,95.31
179,13,1,110,6,6,PASS,95.31
180,2,6,100,4,4,PASS,95.31
181,4,9,10,0,0,PASS,95.31
182,11,13,0,24,24,PASS,95.31
183,6,7,0,13,13,PASS,95.31
184,12,7,0,19,19,PASS,95.31
185,9,14,110,4,4,PASS,95.31
186,0,9,110,0,0,PASS,95.31
187,5,2,101,10,10,PASS,95.31
188,0,13,101,0,0,PASS,95.31
189,1,15,11,15,15,PASS,95.31
190,12,7,1,5,5,PASS,95.31
191,10,3,10,2,2,PASS,95.31
192,14,11,10,10,10,PASS,95.31
193,13,2,1,11,11,PASS,95.31
194,3,1,10,1,1,PASS,95.31
195,9,5,1,4,4,PASS,95.31
196,15,13,0,28,28,PASS,95.31
197,0,3,100,3,3,PASS,95.31
198,9,11,110,4,4,PASS,95.31
199,10,2,101,20,20,PASS,95.31
200,12,8,110,6,6,PASS,95.31
201,11,9,10,9,9,PASS,95.31
202,0,14,1,-14,18,FAIL,95.31
203,15,13,11,15,15,PASS,95.31
204,2,0,11,2,2,PASS,95.31
205,10,10,1,0,0,PASS,95.31
206,6,11,100,13,13,PASS,95.31
207,0,13,110,0,0,PASS,95.31
208,12,3,10,0,0,PASS,95.31
209,3,3,10,3,3,PASS,95.31
210,7,6,101,14,14,PASS,95.31
211,8,3,0,11,11,PASS,95.31
212,6,12,100,10,10,PASS,95.31
213,13,6,10,4,4,PASS,95.31
214,2,15,110,1,1,PASS,95.31
215,5,13,11,13,13,PASS,95.31
216,12,15,10,12,12,PASS,95.31
217,11,15,101,22,22,PASS,95.31
218,7,7,100,0,0,PASS,95.31
219,5,11,1,-6,26,FAIL,95.31
220,4,13,10,4,4,PASS,95.31
221,13,6,110,6,6,PASS,95.31
222,0,4,11,4,4,PASS,95.31
223,3,6,101,6,6,PASS,95.31
224,0,15,10,0,0,PASS,95.31
225,14,14,110,7,7,PASS,95.31
226,10,3,11,11,11,PASS,95.31
227,0,4,11,4,4,PASS,95.31
228,0,0,101,0,0,PASS,95.31
229,14,3,0,17,17,PASS,95.31
230,3,7,11,7,7,PASS,95.31
231,11,0,110,5,5,PASS,95.31
232,10,3,10,2,2,PASS,95.31
233,9,3,100,10,10,PASS,95.31
234,3,0,0,3,3,PASS,95.31
235,10,10,101,20,20,PASS,95.31
236,12,2,0,14,14,PASS,95.31
237,3,10,110,1,1,PASS,95.31
238,11,1,101,22,22,PASS,95.31
239,5,15,1,-10,22,FAIL,95.31
240,9,3,110,4,4,PASS,95.31
241,10,10,10,10,10,PASS,95.31
242,12,6,10,4,4,PASS,95.31
243,9,0,101,18,18,PASS,95.31
244,9,2,11,11,11,PASS,95.31
245,15,2,11,15,15,PASS,95.31
246,12,3,110,6,6,PASS,95.31
247,9,6,101,18,18,PASS,95.31
248,4,9,110,2,2,PASS,95.31
249,8,15,100,7,7,PASS,95.31
250,5,7,100,2,2,PASS,95.31
251,14,3,1,11,11,PASS,95.31
252,0,14,0,14,14,PASS,95.31
253,6,9,1,-3,29,FAIL,96.09
254,4,8,11,12,12,PASS,96.09
255,1,11,10,1,1,PASS,96.09
256,6,15,0,21,21,PASS,96.09
257,0,9,101,0,0,PASS,96.09
258,13,2,11,15,15,PASS,96.09
259,0,5,10,0,0,PASS,96.09
260,2,9,101,4,4,PASS,96.09
261,3,15,100,12,12,PASS,96.09
262,2,2,1,0,0,PASS,96.09
263,13,15,101,26,26,PASS,96.09
264,0,14,0,14,14,PASS,96.09
265,12,2,100,14,14,PASS,96.09
266,4,3,0,7,7,PASS,96.09
267,4,13,1,-9,23,FAIL,96.09
268,14,12,110,7,7,PASS,96.09
269,1,9,10,1,1,PASS,96.09
270,4,7,100,3,3,PASS,96.09
271,2,7,101,4,4,PASS,96.09
272,1,12,101,2,2,PASS,96.09
273,6,1,11,7,7,PASS,96.09
274,11,8,11,11,11,PASS,96.09
275,4,10,10,0,0,PASS,96.09
276,0,14,0,14,14,PASS,96.09
277,3,11,11,11,11,PASS,96.09
278,8,0,101,16,16,PASS,96.09
279,0,7,11,7,7,PASS,96.09
280,5,14,100,11,11,PASS,96.09
281,6,0,1,6,6,PASS,96.09
282,14,12,1,2,2,PASS,96.09
283,3,6,0,9,9,PASS,96.09
284,12,4,11,12,12,PASS,96.09
285,4,2,110,2,2,PASS,96.09
286,6,10,101,12,12,PASS,96.09
287,15,4,10,4,4,PASS,96.09
288,3,4,1,-1,31,FAIL,96.09
289,8,7,1,1,1,PASS,96.09
290,8,15,11,15,15,PASS,96.09
291,9,5,10,1,1,PASS,96.09
292,1,14,10,0,0,PASS,96.09
293,15,11,110,7,7,PASS,96.09
294,9,5,10,1,1,PASS,96.09
295,14,9,101,28,28,PASS,96.09
296,11,9,1,2,2,PASS,96.09
297,8,3,0,11,11,PASS,96.09
298,13,8,1,5,5,PASS,96.09
299,11,0,110,5,5,PASS,96.09
300,7,11,100,12,12,PASS,96.09
301,1,7,1,-6,26,FAIL,96.09
302,7,1,100,6,6,PASS,96.09
303,7,8,100,15,15,PASS,96.09
304,6,3,10,2,2,PASS,96.09
305,3,7,10,3,3,PASS,96.09
306,6,6,11,6,6,PASS,96.09
307,5,8,100,13,13,PASS,96.09
308,3,0,100,3,3,PASS,96.09
309,6,10,100,12,12,PASS,96.09
310,12,1,11,13,13,PASS,96.09
311,10,9,11,11,11,PASS,96.09
312,14,0,1,14,14,PASS,96.09
313,10,14,11,14,14,PASS,96.09
314,14,12,110,7,7,PASS,96.09
315,0,9,11,9,9,PASS,96.09
316,3,9,1,-6,26,FAIL,96.09
317,4,13,100,9,9,PASS,96.09
318,6,0,0,6,6,PASS,96.09
319,0,3,110,0,0,PASS,96.09
320,9,13,10,9,9,PASS,96.09
321,4,5,100,1,1,PASS,96.09
322,5,8,0,13,13,PASS,96.09
323,3,1,110,1,1,PASS,96.09
324,12,6,110,6,6,PASS,96.09
325,2,7,101,4,4,PASS,96.09
326,10,3,100,9,9,PASS,96.09
327,6,0,0,6,6,PASS,96.09
328,13,13,10,13,13,PASS,96.09
329,1,15,0,16,16,PASS,96.09
330,9,3,110,4,4,PASS,96.09
331,11,5,0,16,16,PASS,96.09
332,5,3,110,2,2,PASS,96.09
333,12,3,101,24,24,PASS,96.09
334,10,4,11,14,14,PASS,96.09
335,5,6,10,4,4,PASS,96.09
336,13,7,10,5,5,PASS,96.09
337,11,11,10,11,11,PASS,96.09
338,4,11,11,15,15,PASS,96.09
339,7,8,11,15,15,PASS,96.09
340,13,7,1,6,6,PASS,96.09
341,9,10,100,3,3,PASS,96.09
342,12,2,110,6,6,PASS,96.09
343,15,10,101,30,30,PASS,96.09
344,7,6,1,1,1,PASS,96.09
345,5,10,110,2,2,PASS,96.09
346,6,13,11,15,15,PASS,96.09
347,7,13,101,14,14,PASS,96.09
348,14,11,1,3,3,PASS,96.09
349,0,6,11,6,6,PASS,96.09
350,4,2,100,6,6,PASS,96.09
351,8,13,110,4,4,PASS,96.09
352,8,8,101,16,16,PASS,96.09
353,10,1,1,9,9,PASS,96.09
354,6,6,11,6,6,PASS,96.09
355,7,12,100,11,11,PASS,96.09
