A,B,ExpGT,ExpEQ,ExpLT,ActGT,ActEQ,ActLT,PassFail,Coverage,DeltaCov,Time
10,9,1,0,0,1,0,0,PASS,11.56,11.56,15000
3,6,0,0,1,0,0,1,PASS,23.11,11.56,35000
7,7,0,1,0,0,1,0,PASS,34.67,11.56,55000
6,11,0,0,1,0,0,1,PASS,37.89,3.22,75000
13,14,0,0,1,0,0,1,PASS,41.11,3.22,95000
10,13,0,0,1,0,0,1,PASS,42.77,1.66,115000
5,11,0,0,1,0,0,1,PASS,44.43,1.66,135000
2,11,0,0,1,0,0,1,PASS,46.09,1.66,155000
9,2,1,0,0,1,0,0,PASS,49.32,3.22,175000
11,4,1,0,0,1,0,0,PASS,52.54,3.22,195000
1,5,0,0,1,0,0,1,PASS,55.76,3.22,215000
12,4,1,0,0,1,0,0,PASS,57.42,1.66,235000
14,0,1,0,0,1,0,0,PASS,60.64,3.22,255000
12,13,0,0,1,0,0,1,PASS,60.74,0.10,275000
4,14,0,0,1,0,0,1,PASS,62.40,1.66,295000
5,7,0,0,1,0,0,1,PASS,62.50,0.10,315000
8,13,0,0,1,0,0,1,PASS,64.16,1.66,335000
8,0,1,0,0,1,0,0,PASS,64.26,0.10,355000
0,12,0,0,1,0,0,1,PASS,67.48,3.22,375000
14,9,1,0,0,1,0,0,PASS,67.58,0.10,395000
3,15,0,0,1,0,0,1,PASS,69.24,1.66,415000
14,8,1,0,0,1,0,0,PASS,70.90,1.66,435000
6,7,0,0,1,0,0,1,PASS,71.00,0.10,455000
2,13,0,0,1,0,0,1,PASS,71.09,0.10,475000
9,14,0,0,1,0,0,1,PASS,71.19,0.10,495000
9,5,1,0,0,1,0,0,PASS,71.29,0.10,515000
13,13,0,1,0,0,1,0,PASS,71.39,0.10,535000
3,9,0,0,1,0,0,1,PASS,71.48,0.10,555000
7,14,0,0,1,0,0,1,PASS,71.58,0.10,575000
4,6,0,0,1,0,0,1,PASS,71.68,0.10,595000
0,15,0,0,1,0,0,1,PASS,71.78,0.10,615000
15,12,1,0,0,1,0,0,PASS,73.44,1.66,635000
11,0,1,0,0,1,0,0,PASS,73.54,0.10,655000
5,2,1,0,0,1,0,0,PASS,73.63,0.10,675000
4,12,0,0,1,0,0,1,PASS,73.73,0.10,695000
13,6,1,0,0,1,0,0,PASS,73.83,0.10,715000
13,5,1,0,0,1,0,0,PASS,73.93,0.10,735000
14,11,1,0,0,1,0,0,PASS,74.02,0.10,755000
0,5,0,0,1,0,0,1,PASS,74.12,0.10,775000
0,3,0,0,1,0,0,1,PASS,75.78,1.66,795000
14,3,1,0,0,1,0,0,PASS,75.88,0.10,815000
14,4,1,0,0,1,0,0,PASS,75.98,0.10,835000
10,0,1,0,0,1,0,0,PASS,76.07,0.10,855000
14,7,1,0,0,1,0,0,PASS,76.17,0.10,875000
9,1,1,0,0,1,0,0,PASS,77.83,1.66,895000
12,12,0,1,0,0,1,0,PASS,77.93,0.10,915000
7,12,0,0,1,0,0,1,PASS,78.03,0.10,935000
6,5,1,0,0,1,0,0,PASS,78.12,0.10,955000
2,0,1,0,0,1,0,0,PASS,78.22,0.10,975000
15,5,1,0,0,1,0,0,PASS,78.32,0.10,995000
4,11,0,0,1,0,0,1,PASS,78.42,0.10,1015000
13,10,1,0,0,1,0,0,PASS,80.08,1.66,1035000
10,11,0,0,1,0,0,1,PASS,80.18,0.10,1055000
8,3,1,0,0,1,0,0,PASS,80.27,0.10,1075000
9,8,1,0,0,1,0,0,PASS,80.37,0.10,1095000
11,3,1,0,0,1,0,0,PASS,80.47,0.10,1115000
13,4,1,0,0,1,0,0,PASS,80.57,0.10,1135000
2,7,0,0,1,0,0,1,PASS,80.66,0.10,1155000
2,3,0,0,1,0,0,1,PASS,80.76,0.10,1175000
12,9,1,0,0,1,0,0,PASS,80.86,0.10,1195000
6,12,0,0,1,0,0,1,PASS,80.96,0.10,1215000
11,14,0,0,1,0,0,1,PASS,81.05,0.10,1235000
11,5,1,0,0,1,0,0,PASS,81.15,0.10,1255000
9,12,0,0,1,0,0,1,PASS,81.25,0.10,1275000
4,0,1,0,0,1,0,0,PASS,81.35,0.10,1295000
15,7,1,0,0,1,0,0,PASS,81.45,0.10,1315000
13,3,1,0,0,1,0,0,PASS,81.54,0.10,1335000
12,15,0,0,1,0,0,1,PASS,81.64,0.10,1355000
1,6,0,0,1,0,0,1,PASS,81.74,0.10,1375000
7,0,1,0,0,1,0,0,PASS,81.84,0.10,1395000
2,14,0,0,1,0,0,1,PASS,81.93,0.10,1415000
3,13,0,0,1,0,0,1,PASS,82.03,0.10,1435000
2,12,0,0,1,0,0,1,PASS,82.13,0.10,1455000
5,15,0,0,1,0,0,1,PASS,82.23,0.10,1475000
11,15,0,0,1,0,0,1,PASS,82.32,0.10,1495000
4,1,1,0,0,1,0,0,PASS,82.42,0.10,1515000
4,13,0,0,1,0,0,1,PASS,82.52,0.10,1535000
4,10,0,0,1,0,0,1,PASS,82.62,0.10,1555000
10,14,0,0,1,0,0,1,PASS,82.71,0.10,1575000
15,11,1,0,0,1,0,0,PASS,82.81,0.10,1595000
15,13,1,0,0,1,0,0,PASS,82.91,0.10,1615000
