A,B,ExpGT,ExpEQ,ExpLT,ActGT,ActEQ,ActLT,PassFail,Coverage,DeltaCov,Time
10,15,0,0,1,0,0,1,PASS,83.01,0.10,1635000
3,14,0,0,1,0,0,1,PASS,83.11,0.10,1655000
0,2,0,0,1,0,0,1,PASS,83.20,0.10,1675000
14,6,1,0,0,1,0,0,PASS,83.30,0.10,1695000
8,11,0,0,1,0,0,1,PASS,83.40,0.10,1715000
6,3,1,0,0,1,0,0,PASS,83.50,0.10,1735000
10,10,0,1,0,0,1,0,PASS,83.59,0.10,1755000
1,14,0,0,1,0,0,1,PASS,83.69,0.10,1775000
3,1,1,0,0,1,0,0,PASS,83.79,0.10,1795000
4,3,1,0,0,1,0,0,PASS,83.89,0.10,1815000
10,2,1,0,0,1,0,0,PASS,83.98,0.10,1835000
0,0,0,1,0,0,1,0,PASS,84.08,0.10,1855000
15,10,1,0,0,1,0,0,PASS,84.18,0.10,1875000
12,0,1,0,0,1,0,0,PASS,84.28,0.10,1895000
1,12,0,0,1,0,0,1,PASS,84.38,0.10,1915000
0,9,0,0,1,0,0,1,PASS,84.47,0.10,1935000
12,2,1,0,0,1,0,0,PASS,84.57,0.10,1955000
9,11,0,0,1,0,0,1,PASS,84.67,0.10,1975000
12,10,1,0,0,1,0,0,PASS,84.77,0.10,1995000
10,7,1,0,0,1,0,0,PASS,84.86,0.10,2015000
7,9,0,0,1,0,0,1,PASS,84.96,0.10,2035000
6,8,0,0,1,0,0,1,PASS,85.06,0.10,2055000
8,12,0,0,1,0,0,1,PASS,85.16,0.10,2075000
4,8,0,0,1,0,0,1,PASS,85.25,0.10,2095000
2,4,0,0,1,0,0,1,PASS,85.35,0.10,2115000
14,1,1,0,0,1,0,0,PASS,85.45,0.10,2135000
1,2,0,0,1,0,0,1,PASS,85.55,0.10,2155000
4,2,1,0,0,1,0,0,PASS,85.64,0.10,2175000
13,0,1,0,0,1,0,0,PASS,85.74,0.10,2195000
13,8,1,0,0,1,0,0,PASS,85.84,0.10,2215000
15,14,1,0,0,1,0,0,PASS,85.94,0.10,2235000
9,15,0,0,1,0,0,1,PASS,86.04,0.10,2255000
2,9,0,0,1,0,0,1,PASS,86.13,0.10,2275000
1,1,0,1,0,0,1,0,PASS,86.23,0.10,2295000
9,13,0,0,1,0,0,1,PASS,86.33,0.10,2315000
1,10,0,0,1,0,0,1,PASS,86.43,0.10,2335000
15,8,1,0,0,1,0,0,PASS,86.52,0.10,2355000
2,10,0,0,1,0,0,1,PASS,86.62,0.10,2375000
14,10,1,0,0,1,0,0,PASS,86.72,0.10,2395000
2,15,0,0,1,0,0,1,PASS,86.82,0.10,2415000
10,3,1,0,0,1,0,0,PASS,86.91,0.10,2435000
8,6,1,0,0,1,0,0,PASS,87.01,0.10,2455000
8,2,1,0,0,1,0,0,PASS,87.11,0.10,2475000
3,11,0,0,1,0,0,1,PASS,87.21,0.10,2495000
9,6,1,0,0,1,0,0,PASS,87.30,0.10,2515000
3,7,0,0,1,0,0,1,PASS,87.40,0.10,2535000
11,11,0,1,0,0,1,0,PASS,87.50,0.10,2555000
12,5,1,0,0,1,0,0,PASS,87.60,0.10,2575000
0,8,0,0,1,0,0,1,PASS,87.70,0.10,2595000
1,0,1,0,0,1,0,0,PASS,87.79,0.10,2615000
13,9,1,0,0,1,0,0,PASS,87.89,0.10,2635000
8,7,1,0,0,1,0,0,PASS,87.99,0.10,2655000
13,1,1,0,0,1,0,0,PASS,88.09,0.10,2675000
9,4,1,0,0,1,0,0,PASS,88.18,0.10,2695000
9,3,1,0,0,1,0,0,PASS,88.28,0.10,2715000
4,7,0,0,1,0,0,1,PASS,88.38,0.10,2735000
6,6,0,1,0,0,1,0,PASS,88.48,0.10,2755000
1,7,0,0,1,0,0,1,PASS,88.57,0.10,2775000
6,4,1,0,0,1,0,0,PASS,88.67,0.10,2795000
11,13,0,0,1,0,0,1,PASS,88.77,0.10,2815000
9,10,0,0,1,0,0,1,PASS,88.87,0.10,2835000
1,4,0,0,1,0,0,1,PASS,88.96,0.10,2855000
15,3,1,0,0,1,0,0,PASS,89.06,0.10,2875000
3,12,0,0,1,0,0,1,PASS,89.16,0.10,2895000
8,5,1,0,0,1,0,0,PASS,89.26,0.10,2915000
2,2,0,1,0,0,1,0,PASS,89.36,0.10,2935000
8,14,0,0,1,0,0,1,PASS,89.45,0.10,2955000
0,6,0,0,1,0,0,1,PASS,89.55,0.10,2975000
1,3,0,0,1,0,0,1,PASS,89.65,0.10,2995000
14,5,1,0,0,1,0,0,PASS,89.75,0.10,3015000
12,1,1,0,0,1,0,0,PASS,89.84,0.10,3035000
4,9,0,0,1,0,0,1,PASS,89.94,0.10,3055000
0,10,0,0,1,0,0,1,PASS,90.04,0.10,3075000
7,2,1,0,0,1,0,0,PASS,90.14,0.10,3095000
8,9,0,0,1,0,0,1,PASS,90.23,0.10,3115000
12,6,1,0,0,1,0,0,PASS,90.33,0.10,3135000
4,5,0,0,1,0,0,1,PASS,90.43,0.10,3155000
12,3,1,0,0,1,0,0,PASS,90.53,0.10,3175000
11,12,0,0,1,0,0,1,PASS,90.62,0.10,3195000
14,2,1,0,0,1,0,0,PASS,90.72,0.10,3215000
7,6,1,0,0,1,0,0,PASS,90.82,0.10,3235000
5,4,1,0,0,1,0,0,PASS,90.92,0.10,3255000
5,8,0,0,1,0,0,1,PASS,91.02,0.10,3275000
2,8,0,0,1,0,0,1,PASS,91.11,0.10,3295000
13,15,0,0,1,0,0,1,PASS,91.21,0.10,3315000
7,15,0,0,1,0,0,1,PASS,91.31,0.10,3335000
15,2,1,0,0,1,0,0,PASS,91.41,0.10,3355000
5,6,0,0,1,0,0,1,PASS,91.50,0.10,3375000
5,0,1,0,0,1,0,0,PASS,91.60,0.10,3395000
1,8,0,0,1,0,0,1,PASS,91.70,0.10,3415000
2,5,0,0,1,0,0,1,PASS,91.80,0.10,3435000
5,1,1,0,0,1,0,0,PASS,91.89,0.10,3455000
5,3,1,0,0,1,0,0,PASS,91.99,0.10,3475000
14,12,1,0,0,1,0,0,PASS,92.09,0.10,3495000
12,11,1,0,0,1,0,0,PASS,92.19,0.10,3515000
12,7,1,0,0,1,0,0,PASS,92.29,0.10,3535000
9,9,0,1,0,0,1,0,PASS,92.38,0.10,3555000
1,11,0,0,1,0,0,1,PASS,92.48,0.10,3575000
13,11,1,0,0,1,0,0,PASS,92.58,0.10,3595000
14,15,0,0,1,0,0,1,PASS,92.68,0.10,3615000
0,4,0,0,1,0,0,1,PASS,92.77,0.10,3635000
15,1,1,0,0,1,0,0,PASS,92.87,0.10,3655000
15,9,1,0,0,1,0,0,PASS,92.97,0.10,3675000
6,0,1,0,0,1,0,0,PASS,93.07,0.10,3695000
2,1,1,0,0,1,0,0,PASS,93.16,0.10,3715000
7,8,0,0,1,0,0,1,PASS,93.26,0.10,3735000
12,8,1,0,0,1,0,0,PASS,93.36,0.10,3755000
0,14,0,0,1,0,0,1,PASS,93.46,0.10,3775000
0,13,0,0,1,0,0,1,PASS,93.55,0.10,3795000
10,8,1,0,0,1,0,0,PASS,93.65,0.10,3815000
11,7,1,0,0,1,0,0,PASS,93.75,0.10,3835000
11,10,1,0,0,1,0,0,PASS,93.85,0.10,3855000
7,3,1,0,0,1,0,0,PASS,93.95,0.10,3875000
0,11,0,0,1,0,0,1,PASS,94.04,0.10,3895000
7,13,0,0,1,0,0,1,PASS,94.14,0.10,3915000
8,1,1,0,0,1,0,0,PASS,94.24,0.10,3935000
13,12,1,0,0,1,0,0,PASS,94.34,0.10,3955000
7,11,0,0,1,0,0,1,PASS,94.43,0.10,3975000
11,2,1,0,0,1,0,0,PASS,94.53,0.10,3995000
1,13,0,0,1,0,0,1,PASS,94.63,0.10,4015000
11,9,1,0,0,1,0,0,PASS,94.73,0.10,4035000
5,14,0,0,1,0,0,1,PASS,94.82,0.10,4055000
5,9,0,0,1,0,0,1,PASS,94.92,0.10,4075000
10,12,0,0,1,0,0,1,PASS,95.02,0.10,4095000
6,15,0,0,1,0,0,1,PASS,95.12,0.10,4115000
8,8,0,1,0,0,1,0,PASS,95.21,0.10,4135000
15,4,1,0,0,1,0,0,PASS,95.31,0.10,4155000
15,15,0,1,0,0,1,0,PASS,95.41,0.10,4175000
11,6,1,0,0,1,0,0,PASS,95.51,0.10,4195000
15,6,1,0,0,1,0,0,PASS,95.61,0.10,4215000
10,6,1,0,0,1,0,0,PASS,95.70,0.10,4235000
8,15,0,0,1,0,0,1,PASS,95.80,0.10,4255000
10,5,1,0,0,1,0,0,PASS,95.90,0.10,4275000
15,0,1,0,0,1,0,0,PASS,96.00,0.10,4295000
3,0,1,0,0,1,0,0,PASS,96.09,0.10,4315000
14,13,1,0,0,1,0,0,PASS,96.19,0.10,4335000
6,10,0,0,1,0,0,1,PASS,96.29,0.10,4355000
9,7,1,0,0,1,0,0,PASS,96.39,0.10,4375000
7,5,1,0,0,1,0,0,PASS,96.48,0.10,4395000
8,10,0,0,1,0,0,1,PASS,96.58,0.10,4415000
6,9,0,0,1,0,0,1,PASS,96.68,0.10,4435000
13,7,1,0,0,1,0,0,PASS,96.78,0.10,4455000
9,0,1,0,0,1,0,0,PASS,96.88,0.10,4475000
6,13,0,0,1,0,0,1,PASS,96.97,0.10,4495000
5,12,0,0,1,0,0,1,PASS,97.07,0.10,4515000
5,10,0,0,1,0,0,1,PASS,97.17,0.10,4535000
0,1,0,0,1,0,0,1,PASS,97.27,0.10,4555000
10,4,1,0,0,1,0,0,PASS,97.36,0.10,4575000
5,13,0,0,1,0,0,1,PASS,97.46,0.10,4595000
10,1,1,0,0,1,0,0,PASS,97.56,0.10,4615000
3,3,0,1,0,0,1,0,PASS,97.66,0.10,4635000
0,7,0,0,1,0,0,1,PASS,97.75,0.10,4655000
7,4,1,0,0,1,0,0,PASS,97.85,0.10,4675000
3,4,0,0,1,0,0,1,PASS,97.95,0.10,4695000
1,15,0,0,1,0,0,1,PASS,98.05,0.10,4715000
7,10,0,0,1,0,0,1,PASS,98.14,0.10,4735000
6,1,1,0,0,1,0,0,PASS,98.24,0.10,4755000
8,4,1,0,0,1,0,0,PASS,98.34,0.10,4775000
12,14,0,0,1,0,0,1,PASS,98.44,0.10,4795000
3,5,0,0,1,0,0,1,PASS,98.54,0.10,4815000
3,10,0,0,1,0,0,1,PASS,98.63,0.10,4835000
4,4,0,1,0,0,1,0,PASS,98.73,0.10,4855000
3,2,1,0,0,1,0,0,PASS,98.83,0.10,4875000
7,1,1,0,0,1,0,0,PASS,98.93,0.10,4895000
11,1,1,0,0,1,0,0,PASS,99.02,0.10,4915000
5,5,0,1,0,0,1,0,PASS,99.12,0.10,4935000
6,14,0,0,1,0,0,1,PASS,99.22,0.10,4955000
2,6,0,0,1,0,0,1,PASS,99.32,0.10,4975000
1,9,0,0,1,0,0,1,PASS,99.41,0.10,4995000
6,2,1,0,0,1,0,0,PASS,99.51,0.10,5015000
14,14,0,1,0,0,1,0,PASS,99.61,0.10,5035000
3,8,0,0,1,0,0,1,PASS,99.71,0.10,5055000
4,15,0,0,1,0,0,1,PASS,99.80,0.10,5075000
13,2,1,0,0,1,0,0,PASS,99.90,0.10,5095000
11,8,1,0,0,1,0,0,PASS,100.00,0.10,5115000
