A,B,ExpGT,ExpEQ,ExpLT,ActGT,ActEQ,ActLT,PassFail,Coverage,DeltaCov,Time
6,9,0,0,1,0,0,1,PASS,11.56,11.56,15000
13,8,1,0,0,1,0,0,PASS,23.11,11.56,35000
12,8,1,0,0,1,0,0,PASS,24.77,1.66,55000
9,2,1,0,0,1,0,0,PASS,27.99,3.22,75000
6,11,0,0,1,0,0,1,PASS,29.65,1.66,95000
11,3,1,0,0,1,0,0,PASS,32.88,3.22,115000
15,3,1,0,0,1,0,0,PASS,34.54,1.66,135000
13,10,1,0,0,1,0,0,PASS,36.20,1.66,155000
2,6,0,0,1,0,0,1,PASS,39.42,3.22,175000
5,4,1,0,0,1,0,0,PASS,42.64,3.22,195000
2,3,0,0,1,0,0,1,PASS,42.74,0.10,215000
8,10,0,0,1,0,0,1,PASS,44.40,1.66,235000
10,12,0,0,1,0,0,1,PASS,47.62,3.22,255000
4,7,0,0,1,0,0,1,PASS,50.85,3.22,275000
9,13,0,0,1,0,0,1,PASS,52.51,1.66,295000
7,0,1,0,0,1,0,0,PASS,55.73,3.22,315000
1,1,0,1,0,0,1,0,PASS,67.29,11.56,335000
9,1,1,0,0,1,0,0,PASS,67.38,0.10,355000
8,3,1,0,0,1,0,0,PASS,67.48,0.10,375000
12,5,1,0,0,1,0,0,PASS,69.14,1.66,395000
7,2,1,0,0,1,0,0,PASS,69.24,0.10,415000
4,9,0,0,1,0,0,1,PASS,69.34,0.10,435000
15,4,1,0,0,1,0,0,PASS,69.43,0.10,455000
2,0,1,0,0,1,0,0,PASS,69.53,0.10,475000
11,14,0,0,1,0,0,1,PASS,71.19,1.66,495000
4,1,1,0,0,1,0,0,PASS,71.29,0.10,515000
0,6,0,0,1,0,0,1,PASS,72.95,1.66,535000
11,9,1,0,0,1,0,0,PASS,73.05,0.10,555000
13,12,1,0,0,1,0,0,PASS,73.14,0.10,575000
13,4,1,0,0,1,0,0,PASS,73.24,0.10,595000
4,15,0,0,1,0,0,1,PASS,74.90,1.66,615000
3,1,1,0,0,1,0,0,PASS,76.56,1.66,635000
13,9,1,0,0,1,0,0,PASS,76.66,0.10,655000
8,2,1,0,0,1,0,0,PASS,76.76,0.10,675000
2,11,0,0,1,0,0,1,PASS,76.86,0.10,695000
14,12,1,0,0,1,0,0,PASS,78.52,1.66,715000
9,15,0,0,1,0,0,1,PASS,78.61,0.10,735000
10,14,0,0,1,0,0,1,PASS,78.71,0.10,755000
12,3,1,0,0,1,0,0,PASS,78.81,0.10,775000
12,2,1,0,0,1,0,0,PASS,78.91,0.10,795000
14,14,0,1,0,0,1,0,PASS,79.00,0.10,815000
8,14,0,0,1,0,0,1,PASS,79.10,0.10,835000
7,6,1,0,0,1,0,0,PASS,79.20,0.10,855000
11,13,0,0,1,0,0,1,PASS,79.30,0.10,875000
14,13,1,0,0,1,0,0,PASS,79.39,0.10,895000
9,10,0,0,1,0,0,1,PASS,79.49,0.10,915000
13,2,1,0,0,1,0,0,PASS,79.59,0.10,935000
1,0,1,0,0,1,0,0,PASS,79.69,0.10,955000
6,13,0,0,1,0,0,1,PASS,79.79,0.10,975000
3,4,0,0,1,0,0,1,PASS,79.88,0.10,995000
11,8,1,0,0,1,0,0,PASS,79.98,0.10,1015000
5,1,1,0,0,1,0,0,PASS,80.08,0.10,1035000
8,15,0,0,1,0,0,1,PASS,80.18,0.10,1055000
13,3,1,0,0,1,0,0,PASS,80.27,0.10,1075000
15,12,1,0,0,1,0,0,PASS,80.37,0.10,1095000
0,14,0,0,1,0,0,1,PASS,80.47,0.10,1115000
10,0,1,0,0,1,0,0,PASS,80.57,0.10,1135000
10,10,0,1,0,0,1,0,PASS,80.66,0.10,1155000
9,8,1,0,0,1,0,0,PASS,80.76,0.10,1175000
6,10,0,0,1,0,0,1,PASS,80.86,0.10,1195000
6,7,0,0,1,0,0,1,PASS,80.96,0.10,1215000
7,10,0,0,1,0,0,1,PASS,81.05,0.10,1235000
1,7,0,0,1,0,0,1,PASS,81.15,0.10,1255000
8,4,1,0,0,1,0,0,PASS,81.25,0.10,1275000
15,0,1,0,0,1,0,0,PASS,81.35,0.10,1295000
14,3,1,0,0,1,0,0,PASS,81.45,0.10,1315000
3,11,0,0,1,0,0,1,PASS,81.54,0.10,1335000
3,6,0,0,1,0,0,1,PASS,81.64,0.10,1355000
3,9,0,0,1,0,0,1,PASS,81.74,0.10,1375000
2,1,1,0,0,1,0,0,PASS,81.84,0.10,1395000
5,6,0,0,1,0,0,1,PASS,81.93,0.10,1415000
9,0,1,0,0,1,0,0,PASS,82.03,0.10,1435000
5,10,0,0,1,0,0,1,PASS,82.13,0.10,1455000
9,5,1,0,0,1,0,0,PASS,82.23,0.10,1475000
11,4,1,0,0,1,0,0,PASS,82.32,0.10,1495000
8,9,0,0,1,0,0,1,PASS,82.42,0.10,1515000
0,15,0,0,1,0,0,1,PASS,82.52,0.10,1535000
4,4,0,1,0,0,1,0,PASS,82.62,0.10,1555000
13,6,1,0,0,1,0,0,PASS,82.71,0.10,1575000
10,13,0,0,1,0,0,1,PASS,82.81,0.10,1595000
2,4,0,0,1,0,0,1,PASS,82.91,0.10,1615000
11,1,1,0,0,1,0,0,PASS,83.01,0.10,1635000
12,15,0,0,1,0,0,1,PASS,83.11,0.10,1655000
15,14,1,0,0,1,0,0,PASS,83.20,0.10,1675000
12,9,1,0,0,1,0,0,PASS,83.30,0.10,1695000
5,3,1,0,0,1,0,0,PASS,83.40,0.10,1715000
5,0,1,0,0,1,0,0,PASS,83.50,0.10,1735000
8,1,1,0,0,1,0,0,PASS,83.59,0.10,1755000
4,6,0,0,1,0,0,1,PASS,83.69,0.10,1775000
15,13,1,0,0,1,0,0,PASS,83.79,0.10,1795000
14,11,1,0,0,1,0,0,PASS,83.89,0.10,1815000
15,11,1,0,0,1,0,0,PASS,83.98,0.10,1835000
7,13,0,0,1,0,0,1,PASS,84.08,0.10,1855000
7,8,0,0,1,0,0,1,PASS,84.18,0.10,1875000
14,4,1,0,0,1,0,0,PASS,84.28,0.10,1895000
6,1,1,0,0,1,0,0,PASS,84.38,0.10,1915000
2,15,0,0,1,0,0,1,PASS,84.47,0.10,1935000
13,7,1,0,0,1,0,0,PASS,84.57,0.10,1955000
14,5,1,0,0,1,0,0,PASS,84.67,0.10,1975000
0,9,0,0,1,0,0,1,PASS,84.77,0.10,1995000
12,0,1,0,0,1,0,0,PASS,84.86,0.10,2015000
6,8,0,0,1,0,0,1,PASS,84.96,0.10,2035000
2,13,0,0,1,0,0,1,PASS,85.06,0.10,2055000
9,9,0,1,0,0,1,0,PASS,85.16,0.10,2075000
11,7,1,0,0,1,0,0,PASS,85.25,0.10,2095000
5,11,0,0,1,0,0,1,PASS,85.35,0.10,2115000
12,6,1,0,0,1,0,0,PASS,85.45,0.10,2135000
13,11,1,0,0,1,0,0,PASS,85.55,0.10,2155000
6,5,1,0,0,1,0,0,PASS,85.64,0.10,2175000
13,0,1,0,0,1,0,0,PASS,85.74,0.10,2195000
3,0,1,0,0,1,0,0,PASS,85.84,0.10,2215000
0,3,0,0,1,0,0,1,PASS,85.94,0.10,2235000
5,5,0,1,0,0,1,0,PASS,86.04,0.10,2255000
0,8,0,0,1,0,0,1,PASS,86.13,0.10,2275000
3,3,0,1,0,0,1,0,PASS,86.23,0.10,2295000
5,9,0,0,1,0,0,1,PASS,86.33,0.10,2315000
5,2,1,0,0,1,0,0,PASS,86.43,0.10,2335000
4,2,1,0,0,1,0,0,PASS,86.52,0.10,2355000
7,3,1,0,0,1,0,0,PASS,86.62,0.10,2375000
14,15,0,0,1,0,0,1,PASS,86.72,0.10,2395000
15,6,1,0,0,1,0,0,PASS,86.82,0.10,2415000
7,15,0,0,1,0,0,1,PASS,86.91,0.10,2435000
11,2,1,0,0,1,0,0,PASS,87.01,0.10,2455000
14,6,1,0,0,1,0,0,PASS,87.11,0.10,2475000
4,3,1,0,0,1,0,0,PASS,87.21,0.10,2495000
6,4,1,0,0,1,0,0,PASS,87.30,0.10,2515000
10,5,1,0,0,1,0,0,PASS,87.40,0.10,2535000
13,5,1,0,0,1,0,0,PASS,87.50,0.10,2555000
14,8,1,0,0,1,0,0,PASS,87.60,0.10,2575000
9,3,1,0,0,1,0,0,PASS,87.70,0.10,2595000
6,14,0,0,1,0,0,1,PASS,87.79,0.10,2615000
9,4,1,0,0,1,0,0,PASS,87.89,0.10,2635000
1,12,0,0,1,0,0,1,PASS,87.99,0.10,2655000
1,14,0,0,1,0,0,1,PASS,88.09,0.10,2675000
14,2,1,0,0,1,0,0,PASS,88.18,0.10,2695000
