A,B,ExpGT,ExpEQ,ExpLT,ActGT,ActEQ,ActLT,PassFail,Coverage,DeltaCov,Time
1,13,0,0,1,0,0,1,PASS,88.28,0.10,2715000
12,12,0,1,0,0,1,0,PASS,88.38,0.10,2735000
15,9,1,0,0,1,0,0,PASS,88.48,0.10,2755000
9,11,0,0,1,0,0,1,PASS,88.57,0.10,2775000
12,14,0,0,1,0,0,1,PASS,88.67,0.10,2795000
12,7,1,0,0,1,0,0,PASS,88.77,0.10,2815000
13,13,0,1,0,0,1,0,PASS,88.87,0.10,2835000
4,14,0,0,1,0,0,1,PASS,88.96,0.10,2855000
1,6,0,0,1,0,0,1,PASS,89.06,0.10,2875000
11,0,1,0,0,1,0,0,PASS,89.16,0.10,2895000
10,1,1,0,0,1,0,0,PASS,89.26,0.10,2915000
9,12,0,0,1,0,0,1,PASS,89.36,0.10,2935000
8,8,0,1,0,0,1,0,PASS,89.45,0.10,2955000
15,2,1,0,0,1,0,0,PASS,89.55,0.10,2975000
5,15,0,0,1,0,0,1,PASS,89.65,0.10,2995000
13,14,0,0,1,0,0,1,PASS,89.75,0.10,3015000
5,8,0,0,1,0,0,1,PASS,89.84,0.10,3035000
14,1,1,0,0,1,0,0,PASS,89.94,0.10,3055000
3,10,0,0,1,0,0,1,PASS,90.04,0.10,3075000
10,7,1,0,0,1,0,0,PASS,90.14,0.10,3095000
7,1,1,0,0,1,0,0,PASS,90.23,0.10,3115000
4,5,0,0,1,0,0,1,PASS,90.33,0.10,3135000
0,4,0,0,1,0,0,1,PASS,90.43,0.10,3155000
0,2,0,0,1,0,0,1,PASS,90.53,0.10,3175000
8,7,1,0,0,1,0,0,PASS,90.62,0.10,3195000
6,6,0,1,0,0,1,0,PASS,90.72,0.10,3215000
11,6,1,0,0,1,0,0,PASS,90.82,0.10,3235000
15,5,1,0,0,1,0,0,PASS,90.92,0.10,3255000
10,11,0,0,1,0,0,1,PASS,91.02,0.10,3275000
11,10,1,0,0,1,0,0,PASS,91.11,0.10,3295000
7,9,0,0,1,0,0,1,PASS,91.21,0.10,3315000
3,7,0,0,1,0,0,1,PASS,91.31,0.10,3335000
1,2,0,0,1,0,0,1,PASS,91.41,0.10,3355000
8,13,0,0,1,0,0,1,PASS,91.50,0.10,3375000
2,14,0,0,1,0,0,1,PASS,91.60,0.10,3395000
11,5,1,0,0,1,0,0,PASS,91.70,0.10,3415000
4,10,0,0,1,0,0,1,PASS,91.80,0.10,3435000
1,15,0,0,1,0,0,1,PASS,91.89,0.10,3455000
1,11,0,0,1,0,0,1,PASS,91.99,0.10,3475000
15,8,1,0,0,1,0,0,PASS,92.09,0.10,3495000
7,11,0,0,1,0,0,1,PASS,92.19,0.10,3515000
0,10,0,0,1,0,0,1,PASS,92.29,0.10,3535000
9,7,1,0,0,1,0,0,PASS,92.38,0.10,3555000
14,10,1,0,0,1,0,0,PASS,92.48,0.10,3575000
12,4,1,0,0,1,0,0,PASS,92.58,0.10,3595000
3,13,0,0,1,0,0,1,PASS,92.68,0.10,3615000
1,3,0,0,1,0,0,1,PASS,92.77,0.10,3635000
3,12,0,0,1,0,0,1,PASS,92.87,0.10,3655000
1,8,0,0,1,0,0,1,PASS,92.97,0.10,3675000
15,7,1,0,0,1,0,0,PASS,93.07,0.10,3695000
0,7,0,0,1,0,0,1,PASS,93.16,0.10,3715000
10,4,1,0,0,1,0,0,PASS,93.26,0.10,3735000
6,0,1,0,0,1,0,0,PASS,93.36,0.10,3755000
0,1,0,0,1,0,0,1,PASS,93.46,0.10,3775000
1,4,0,0,1,0,0,1,PASS,93.55,0.10,3795000
0,0,0,1,0,0,1,0,PASS,93.65,0.10,3815000
6,12,0,0,1,0,0,1,PASS,93.75,0.10,3835000
0,5,0,0,1,0,0,1,PASS,93.85,0.10,3855000
14,0,1,0,0,1,0,0,PASS,93.95,0.10,3875000
10,2,1,0,0,1,0,0,PASS,94.04,0.10,3895000
3,14,0,0,1,0,0,1,PASS,94.14,0.10,3915000
11,11,0,1,0,0,1,0,PASS,94.24,0.10,3935000
11,12,0,0,1,0,0,1,PASS,94.34,0.10,3955000
4,0,1,0,0,1,0,0,PASS,94.43,0.10,3975000
3,5,0,0,1,0,0,1,PASS,94.53,0.10,3995000
5,12,0,0,1,0,0,1,PASS,94.63,0.10,4015000
10,3,1,0,0,1,0,0,PASS,94.73,0.10,4035000
7,7,0,1,0,0,1,0,PASS,94.82,0.10,4055000
2,10,0,0,1,0,0,1,PASS,94.92,0.10,4075000
15,10,1,0,0,1,0,0,PASS,95.02,0.10,4095000
4,12,0,0,1,0,0,1,PASS,95.12,0.10,4115000
2,2,0,1,0,0,1,0,PASS,95.21,0.10,4135000
4,8,0,0,1,0,0,1,PASS,95.31,0.10,4155000
13,1,1,0,0,1,0,0,PASS,95.41,0.10,4175000
9,6,1,0,0,1,0,0,PASS,95.51,0.10,4195000
10,15,0,0,1,0,0,1,PASS,95.61,0.10,4215000
8,12,0,0,1,0,0,1,PASS,95.70,0.10,4235000
5,13,0,0,1,0,0,1,PASS,95.80,0.10,4255000
2,5,0,0,1,0,0,1,PASS,95.90,0.10,4275000
6,2,1,0,0,1,0,0,PASS,96.00,0.10,4295000
8,5,1,0,0,1,0,0,PASS,96.09,0.10,4315000
8,6,1,0,0,1,0,0,PASS,96.19,0.10,4335000
14,7,1,0,0,1,0,0,PASS,96.29,0.10,4355000
10,6,1,0,0,1,0,0,PASS,96.39,0.10,4375000
15,15,0,1,0,0,1,0,PASS,96.48,0.10,4395000
3,2,1,0,0,1,0,0,PASS,96.58,0.10,4415000
11,15,0,0,1,0,0,1,PASS,96.68,0.10,4435000
7,12,0,0,1,0,0,1,PASS,96.78,0.10,4455000
1,10,0,0,1,0,0,1,PASS,96.88,0.10,4475000
0,13,0,0,1,0,0,1,PASS,96.97,0.10,4495000
6,15,0,0,1,0,0,1,PASS,97.07,0.10,4515000
4,13,0,0,1,0,0,1,PASS,97.17,0.10,4535000
4,11,0,0,1,0,0,1,PASS,97.27,0.10,4555000
14,9,1,0,0,1,0,0,PASS,97.36,0.10,4575000
0,12,0,0,1,0,0,1,PASS,97.46,0.10,4595000
12,11,1,0,0,1,0,0,PASS,97.56,0.10,4615000
10,9,1,0,0,1,0,0,PASS,97.66,0.10,4635000
8,0,1,0,0,1,0,0,PASS,97.75,0.10,4655000
5,14,0,0,1,0,0,1,PASS,97.85,0.10,4675000
3,8,0,0,1,0,0,1,PASS,97.95,0.10,4695000
13,15,0,0,1,0,0,1,PASS,98.05,0.10,4715000
2,9,0,0,1,0,0,1,PASS,98.14,0.10,4735000
12,1,1,0,0,1,0,0,PASS,98.24,0.10,4755000
7,14,0,0,1,0,0,1,PASS,98.34,0.10,4775000
2,8,0,0,1,0,0,1,PASS,98.44,0.10,4795000
5,7,0,0,1,0,0,1,PASS,98.54,0.10,4815000
10,8,1,0,0,1,0,0,PASS,98.63,0.10,4835000
12,10,1,0,0,1,0,0,PASS,98.73,0.10,4855000
7,5,1,0,0,1,0,0,PASS,98.83,0.10,4875000
3,15,0,0,1,0,0,1,PASS,98.93,0.10,4895000
6,3,1,0,0,1,0,0,PASS,99.02,0.10,4915000
9,14,0,0,1,0,0,1,PASS,99.12,0.10,4935000
0,11,0,0,1,0,0,1,PASS,99.22,0.10,4955000
15,1,1,0,0,1,0,0,PASS,99.32,0.10,4975000
1,9,0,0,1,0,0,1,PASS,99.41,0.10,4995000
1,5,0,0,1,0,0,1,PASS,99.51,0.10,5015000
2,12,0,0,1,0,0,1,PASS,99.61,0.10,5035000
8,11,0,0,1,0,0,1,PASS,99.71,0.10,5055000
2,7,0,0,1,0,0,1,PASS,99.80,0.10,5075000
12,13,0,0,1,0,0,1,PASS,99.90,0.10,5095000
7,4,1,0,0,1,0,0,PASS,100.00,0.10,5115000
