A,B,Expected,Actual,PassFail,Coverage,DeltaCov,Time
7,15,24,24,PASS,15.72,15.72,15000
4,14,22,22,PASS,18.95,3.22,35000
15,7,8,8,PASS,22.17,3.22,55000
8,2,6,6,PASS,25.39,3.22,75000
6,1,5,5,PASS,28.61,3.22,95000
9,6,3,3,PASS,31.84,3.22,115000
3,6,29,29,PASS,33.50,1.66,135000
6,6,0,0,PASS,46.09,12.60,155000
7,9,30,30,PASS,47.75,1.66,175000
0,8,24,24,PASS,50.98,3.22,195000
9,11,30,30,PASS,52.64,1.66,215000
2,2,0,0,PASS,54.30,1.66,235000
15,2,13,13,PASS,54.39,0.10,255000
1,14,19,19,PASS,56.05,1.66,275000
7,13,26,26,PASS,57.71,1.66,295000
4,11,25,25,PASS,57.81,0.10,315000
12,7,5,5,PASS,59.47,1.66,335000
9,7,2,2,PASS,59.57,0.10,355000
14,6,8,8,PASS,61.23,1.66,375000
11,14,29,29,PASS,62.89,1.66,395000
2,3,31,31,PASS,64.55,1.66,415000
9,2,7,7,PASS,64.65,0.10,435000
13,8,5,5,PASS,66.31,1.66,455000
12,2,10,10,PASS,66.41,0.10,475000
7,12,27,27,PASS,68.07,1.66,495000
14,8,6,6,PASS,68.16,0.10,515000
4,14,22,22,PASS,68.16,0.00,535000
13,14,31,31,PASS,68.26,0.10,555000
7,10,29,29,PASS,69.92,1.66,575000
0,6,26,26,PASS,70.02,0.10,595000
1,8,25,25,PASS,70.12,0.10,615000
5,3,2,2,PASS,71.78,1.66,635000
6,9,29,29,PASS,71.88,0.10,655000
7,11,28,28,PASS,71.97,0.10,675000
10,1,9,9,PASS,73.63,1.66,695000
1,11,22,22,PASS,73.73,0.10,715000
11,11,0,0,PASS,73.83,0.10,735000
3,4,31,31,PASS,75.49,1.66,755000
0,5,27,27,PASS,77.15,1.66,775000
8,15,25,25,PASS,77.25,0.10,795000
15,11,4,4,PASS,77.34,0.10,815000
15,7,8,8,PASS,77.34,0.00,835000
10,15,27,27,PASS,77.44,0.10,855000
0,8,24,24,PASS,77.44,0.00,875000
11,6,5,5,PASS,77.54,0.10,895000
6,8,30,30,PASS,77.64,0.10,915000
9,6,3,3,PASS,77.64,0.00,935000
14,13,1,1,PASS,77.73,0.10,955000
0,14,18,18,PASS,77.83,0.10,975000
1,9,24,24,PASS,77.93,0.10,995000
4,1,3,3,PASS,78.03,0.10,1015000
11,15,28,28,PASS,78.12,0.10,1035000
12,10,2,2,PASS,78.22,0.10,1055000
11,12,31,31,PASS,78.32,0.10,1075000
14,14,0,0,PASS,78.42,0.10,1095000
0,9,23,23,PASS,78.52,0.10,1115000
2,13,21,21,PASS,78.61,0.10,1135000
10,1,9,9,PASS,78.61,0.00,1155000
8,8,0,0,PASS,78.71,0.10,1175000
14,8,6,6,PASS,78.71,0.00,1195000
1,6,27,27,PASS,78.81,0.10,1215000
7,11,28,28,PASS,78.81,0.00,1235000
3,2,1,1,PASS,78.91,0.10,1255000
12,6,6,6,PASS,79.00,0.10,1275000
8,5,3,3,PASS,79.10,0.10,1295000
6,10,28,28,PASS,79.20,0.10,1315000
12,4,8,8,PASS,79.30,0.10,1335000
3,2,1,1,PASS,79.30,0.00,1355000
0,0,0,0,PASS,80.96,1.66,1375000
6,14,24,24,PASS,81.05,0.10,1395000
15,2,13,13,PASS,81.05,0.00,1415000
13,11,2,2,PASS,81.15,0.10,1435000
10,8,2,2,PASS,81.25,0.10,1455000
0,6,26,26,PASS,81.25,0.00,1475000
14,11,3,3,PASS,81.35,0.10,1495000
8,13,27,27,PASS,81.45,0.10,1515000
7,4,3,3,PASS,81.54,0.10,1535000
15,8,7,7,PASS,81.64,0.10,1555000
7,13,26,26,PASS,81.64,0.00,1575000
1,7,26,26,PASS,81.74,0.10,1595000
4,5,31,31,PASS,81.84,0.10,1615000
14,2,12,12,PASS,81.93,0.10,1635000
11,6,5,5,PASS,81.93,0.00,1655000
10,4,6,6,PASS,82.03,0.10,1675000
8,7,1,1,PASS,82.13,0.10,1695000
13,15,30,30,PASS,82.23,0.10,1715000
2,10,24,24,PASS,82.32,0.10,1735000
6,11,27,27,PASS,82.42,0.10,1755000
1,4,29,29,PASS,82.52,0.10,1775000
2,13,21,21,PASS,82.52,0.00,1795000
0,2,30,30,PASS,82.62,0.10,1815000
15,13,2,2,PASS,82.71,0.10,1835000
13,6,7,7,PASS,82.81,0.10,1855000
15,9,6,6,PASS,82.91,0.10,1875000
15,6,9,9,PASS,83.01,0.10,1895000
2,4,30,30,PASS,83.11,0.10,1915000
5,14,23,23,PASS,83.20,0.10,1935000
2,0,2,2,PASS,83.30,0.10,1955000
3,3,0,0,PASS,83.40,0.10,1975000
2,15,19,19,PASS,83.50,0.10,1995000
10,14,28,28,PASS,83.59,0.10,2015000
6,7,31,31,PASS,83.69,0.10,2035000
10,2,8,8,PASS,83.79,0.10,2055000
11,1,10,10,PASS,83.89,0.10,2075000
14,2,12,12,PASS,83.89,0.00,2095000
4,2,2,2,PASS,83.98,0.10,2115000
8,9,31,31,PASS,84.08,0.10,2135000
2,14,20,20,PASS,84.18,0.10,2155000
7,4,3,3,PASS,84.18,0.00,2175000
7,7,0,0,PASS,84.28,0.10,2195000
6,7,31,31,PASS,84.28,0.00,2215000
7,12,27,27,PASS,84.28,0.00,2235000
