A,B,Expected,Actual,PassFail,Coverage,DeltaCov,Time
11,3,8,8,PASS,15.72,15.72,15000
7,1,6,6,PASS,18.95,3.22,35000
11,7,4,4,PASS,20.61,1.66,55000
8,10,30,30,PASS,23.83,3.22,75000
4,13,23,23,PASS,27.05,3.22,95000
3,2,1,1,PASS,30.27,3.22,115000
6,14,24,24,PASS,33.50,3.22,135000
0,7,25,25,PASS,35.16,1.66,155000
8,0,8,8,PASS,36.82,1.66,175000
8,4,4,4,PASS,38.48,1.66,195000
7,0,7,7,PASS,38.57,0.10,215000
11,12,31,31,PASS,40.23,1.66,235000
14,12,2,2,PASS,41.89,1.66,255000
14,2,12,12,PASS,41.99,0.10,275000
15,7,8,8,PASS,43.65,1.66,295000
3,2,1,1,PASS,43.65,0.00,315000
11,2,9,9,PASS,43.75,0.10,335000
5,1,4,4,PASS,45.41,1.66,355000
11,2,9,9,PASS,45.41,0.00,375000
0,3,29,29,PASS,45.51,0.10,395000
4,14,22,22,PASS,45.61,0.10,415000
2,7,27,27,PASS,47.27,1.66,435000
0,3,29,29,PASS,47.27,0.00,455000
7,1,6,6,PASS,47.27,0.00,475000
6,7,31,31,PASS,47.36,0.10,495000
3,0,3,3,PASS,47.46,0.10,515000
10,5,5,5,PASS,50.68,3.22,535000
3,13,22,22,PASS,50.78,0.10,555000
13,0,13,13,PASS,52.44,1.66,575000
11,15,28,28,PASS,54.10,1.66,595000
15,5,10,10,PASS,54.20,0.10,615000
11,0,11,11,PASS,54.30,0.10,635000
0,8,24,24,PASS,55.96,1.66,655000
9,0,9,9,PASS,57.62,1.66,675000
7,8,31,31,PASS,57.71,0.10,695000
7,14,25,25,PASS,57.81,0.10,715000
11,12,31,31,PASS,57.81,0.00,735000
5,6,31,31,PASS,59.47,1.66,755000
12,3,9,9,PASS,61.13,1.66,775000
6,3,3,3,PASS,61.23,0.10,795000
6,10,28,28,PASS,61.33,0.10,815000
5,12,25,25,PASS,61.43,0.10,835000
7,3,4,4,PASS,61.52,0.10,855000
0,11,21,21,PASS,63.18,1.66,875000
1,11,22,22,PASS,64.84,1.66,895000
12,11,1,1,PASS,64.94,0.10,915000
8,8,0,0,PASS,77.54,12.60,935000
12,1,11,11,PASS,77.64,0.10,955000
5,2,3,3,PASS,77.73,0.10,975000
12,5,7,7,PASS,77.83,0.10,995000
14,7,7,7,PASS,77.93,0.10,1015000
2,8,26,26,PASS,78.03,0.10,1035000
11,12,31,31,PASS,78.03,0.00,1055000
12,4,8,8,PASS,78.12,0.10,1075000
4,15,21,21,PASS,78.22,0.10,1095000
10,9,1,1,PASS,79.88,1.66,1115000
4,5,31,31,PASS,79.98,0.10,1135000
9,14,27,27,PASS,80.08,0.10,1155000
14,3,11,11,PASS,80.18,0.10,1175000
15,1,14,14,PASS,80.27,0.10,1195000
9,12,29,29,PASS,80.37,0.10,1215000
15,15,0,0,PASS,80.47,0.10,1235000
11,0,11,11,PASS,80.47,0.00,1255000
7,7,0,0,PASS,80.57,0.10,1275000
2,0,2,2,PASS,80.66,0.10,1295000
6,14,24,24,PASS,80.66,0.00,1315000
1,6,27,27,PASS,80.76,0.10,1335000
10,4,6,6,PASS,80.86,0.10,1355000
13,11,2,2,PASS,80.96,0.10,1375000
7,11,28,28,PASS,81.05,0.10,1395000
1,1,0,0,PASS,81.15,0.10,1415000
1,1,0,0,PASS,81.15,0.00,1435000
3,14,21,21,PASS,81.25,0.10,1455000
9,8,1,1,PASS,81.35,0.10,1475000
15,10,5,5,PASS,81.45,0.10,1495000
9,15,26,26,PASS,81.54,0.10,1515000
13,5,8,8,PASS,81.64,0.10,1535000
13,6,7,7,PASS,81.74,0.10,1555000
0,8,24,24,PASS,81.74,0.00,1575000
11,15,28,28,PASS,81.74,0.00,1595000
9,0,9,9,PASS,81.74,0.00,1615000
0,5,27,27,PASS,81.84,0.10,1635000
5,9,28,28,PASS,81.93,0.10,1655000
6,5,1,1,PASS,82.03,0.10,1675000
8,10,30,30,PASS,82.03,0.00,1695000
9,14,27,27,PASS,82.03,0.00,1715000
15,7,8,8,PASS,82.03,0.00,1735000
1,14,19,19,PASS,82.13,0.10,1755000
1,3,30,30,PASS,82.23,0.10,1775000
0,14,18,18,PASS,82.32,0.10,1795000
7,7,0,0,PASS,82.32,0.00,1815000
3,0,3,3,PASS,82.32,0.00,1835000
2,0,2,2,PASS,82.32,0.00,1855000
3,2,1,1,PASS,82.32,0.00,1875000
4,4,0,0,PASS,82.42,0.10,1895000
2,14,20,20,PASS,82.52,0.10,1915000
0,0,0,0,PASS,82.62,0.10,1935000
4,11,25,25,PASS,82.71,0.10,1955000
1,15,18,18,PASS,82.81,0.10,1975000
4,15,21,21,PASS,82.81,0.00,1995000
1,2,31,31,PASS,82.91,0.10,2015000
1,10,23,23,PASS,83.01,0.10,2035000
7,13,26,26,PASS,83.11,0.10,2055000
11,15,28,28,PASS,83.11,0.00,2075000
8,15,25,25,PASS,83.20,0.10,2095000
13,5,8,8,PASS,83.20,0.00,2115000
14,4,10,10,PASS,83.30,0.10,2135000
4,12,24,24,PASS,83.40,0.10,2155000
15,4,11,11,PASS,83.50,0.10,2175000
6,3,3,3,PASS,83.50,0.00,2195000
9,0,9,9,PASS,83.50,0.00,2215000
14,1,13,13,PASS,83.59,0.10,2235000
9,4,5,5,PASS,83.69,0.10,2255000
3,6,29,29,PASS,83.79,0.10,2275000
7,6,1,1,PASS,83.89,0.10,2295000
5,12,25,25,PASS,83.89,0.00,2315000
12,11,1,1,PASS,83.89,0.00,2335000
8,5,3,3,PASS,83.98,0.10,2355000
2,15,19,19,PASS,84.08,0.10,2375000
10,10,0,0,PASS,84.18,0.10,2395000
1,5,28,28,PASS,84.28,0.10,2415000
10,8,2,2,PASS,84.38,0.10,2435000
1,15,18,18,PASS,84.38,0.00,2455000
13,12,1,1,PASS,84.47,0.10,2475000
1,1,0,0,PASS,84.47,0.00,2495000
8,4,4,4,PASS,84.47,0.00,2515000
9,9,0,0,PASS,84.57,0.10,2535000
3,13,22,22,PASS,84.57,0.00,2555000
4,12,24,24,PASS,84.57,0.00,2575000
3,8,27,27,PASS,84.67,0.10,2595000
6,1,5,5,PASS,84.77,0.10,2615000
14,14,0,0,PASS,84.86,0.10,2635000
2,11,23,23,PASS,84.96,0.10,2655000
7,9,30,30,PASS,85.06,0.10,2675000
13,13,0,0,PASS,85.16,0.10,2695000
14,2,12,12,PASS,85.16,0.00,2715000
11,12,31,31,PASS,85.16,0.00,2735000
9,11,30,30,PASS,85.25,0.10,2755000
14,2,12,12,PASS,85.25,0.00,2775000
15,3,12,12,PASS,85.35,0.10,2795000
11,5,6,6,PASS,85.45,0.10,2815000
3,11,24,24,PASS,85.55,0.10,2835000
