A,B,Expected,Actual,PassFail,Coverage,DeltaCov,Time
6,9,29,29,PASS,15.72,15.72,15000
13,8,5,5,PASS,18.95,3.22,35000
12,8,4,4,PASS,20.61,1.66,55000
9,2,7,7,PASS,23.83,3.22,75000
6,11,27,27,PASS,25.49,1.66,95000
11,3,8,8,PASS,28.71,3.22,115000
15,3,12,12,PASS,30.37,1.66,135000
13,10,3,3,PASS,32.03,1.66,155000
2,6,28,28,PASS,35.25,3.22,175000
5,4,1,1,PASS,38.48,3.22,195000
2,3,31,31,PASS,38.57,0.10,215000
8,10,30,30,PASS,40.23,1.66,235000
10,12,30,30,PASS,43.46,3.22,255000
4,7,29,29,PASS,46.68,3.22,275000
9,13,28,28,PASS,48.34,1.66,295000
7,0,7,7,PASS,51.56,3.22,315000
1,1,0,0,PASS,67.29,15.72,335000
9,1,8,8,PASS,67.38,0.10,355000
8,3,5,5,PASS,67.48,0.10,375000
12,5,7,7,PASS,69.14,1.66,395000
7,2,5,5,PASS,69.24,0.10,415000
4,9,27,27,PASS,69.34,0.10,435000
8,3,5,5,PASS,69.34,0.00,455000
2,0,2,2,PASS,69.43,0.10,475000
11,14,29,29,PASS,71.09,1.66,495000
4,1,3,3,PASS,71.19,0.10,515000
0,6,26,26,PASS,72.85,1.66,535000
11,9,2,2,PASS,72.95,0.10,555000
13,12,1,1,PASS,73.05,0.10,575000
13,4,9,9,PASS,73.14,0.10,595000
4,15,21,21,PASS,74.80,1.66,615000
3,1,2,2,PASS,76.46,1.66,635000
13,9,4,4,PASS,76.56,0.10,655000
8,2,6,6,PASS,76.66,0.10,675000
2,11,23,23,PASS,76.76,0.10,695000
14,12,2,2,PASS,78.42,1.66,715000
2,11,23,23,PASS,78.42,0.00,735000
10,14,28,28,PASS,78.52,0.10,755000
12,3,9,9,PASS,78.61,0.10,775000
12,2,10,10,PASS,78.71,0.10,795000
14,14,0,0,PASS,78.81,0.10,815000
8,14,26,26,PASS,78.91,0.10,835000
7,6,1,1,PASS,79.00,0.10,855000
11,13,30,30,PASS,79.10,0.10,875000
14,13,1,1,PASS,79.20,0.10,895000
13,12,1,1,PASS,79.20,0.00,915000
13,2,11,11,PASS,79.30,0.10,935000
1,0,1,1,PASS,79.39,0.10,955000
6,13,25,25,PASS,79.49,0.10,975000
3,4,31,31,PASS,79.59,0.10,995000
11,8,3,3,PASS,79.69,0.10,1015000
4,9,27,27,PASS,79.69,0.00,1035000
8,15,25,25,PASS,79.79,0.10,1055000
13,3,10,10,PASS,79.88,0.10,1075000
