A,B,Expected,Actual,PassFail,Coverage,DeltaCov,Time
10,9,1,1,PASS,15.72,15.72,15000
3,6,29,29,PASS,18.95,3.22,35000
7,7,0,0,PASS,34.67,15.72,55000
6,11,27,27,PASS,37.89,3.22,75000
13,14,31,31,PASS,41.11,3.22,95000
10,13,29,29,PASS,42.77,1.66,115000
5,11,26,26,PASS,44.43,1.66,135000
2,11,23,23,PASS,46.09,1.66,155000
9,2,7,7,PASS,49.32,3.22,175000
11,4,7,7,PASS,52.54,3.22,195000
1,5,28,28,PASS,55.76,3.22,215000
12,4,8,8,PASS,57.42,1.66,235000
14,0,14,14,PASS,60.64,3.22,255000
12,13,31,31,PASS,60.74,0.10,275000
4,14,22,22,PASS,62.40,1.66,295000
5,7,30,30,PASS,62.50,0.10,315000
8,13,27,27,PASS,64.16,1.66,335000
8,0,8,8,PASS,64.26,0.10,355000
12,13,31,31,PASS,64.26,0.00,375000
14,9,5,5,PASS,64.36,0.10,395000
3,15,20,20,PASS,66.02,1.66,415000
14,8,6,6,PASS,67.68,1.66,435000
2,11,23,23,PASS,67.68,0.00,455000
2,13,21,21,PASS,67.77,0.10,475000
9,14,27,27,PASS,67.87,0.10,495000
9,5,4,4,PASS,67.97,0.10,515000
13,13,0,0,PASS,68.07,0.10,535000
3,9,26,26,PASS,68.16,0.10,555000
7,14,25,25,PASS,68.26,0.10,575000
4,6,30,30,PASS,68.36,0.10,595000
13,13,0,0,PASS,68.36,0.00,615000
2,11,23,23,PASS,68.36,0.00,635000
2,11,23,23,PASS,68.36,0.00,655000
5,2,3,3,PASS,68.46,0.10,675000
4,12,24,24,PASS,70.12,1.66,695000
13,6,7,7,PASS,70.21,0.10,715000
13,5,8,8,PASS,70.31,0.10,735000
14,11,3,3,PASS,70.41,0.10,755000
0,5,27,27,PASS,72.07,1.66,775000
0,3,29,29,PASS,73.73,1.66,795000
14,11,3,3,PASS,73.73,0.00,815000
14,3,11,11,PASS,73.83,0.10,835000
10,0,10,10,PASS,73.93,0.10,855000
14,7,7,7,PASS,74.02,0.10,875000
9,1,8,8,PASS,75.68,1.66,895000
12,12,0,0,PASS,75.78,0.10,915000
7,12,27,27,PASS,75.88,0.10,935000
6,5,1,1,PASS,75.98,0.10,955000
2,0,2,2,PASS,76.07,0.10,975000
15,5,10,10,PASS,77.73,1.66,995000
4,11,25,25,PASS,77.83,0.10,1015000
13,10,3,3,PASS,79.49,1.66,1035000
10,11,31,31,PASS,79.59,0.10,1055000
8,3,5,5,PASS,79.69,0.10,1075000
9,8,1,1,PASS,79.79,0.10,1095000
11,3,8,8,PASS,79.88,0.10,1115000
13,4,9,9,PASS,79.98,0.10,1135000
2,7,27,27,PASS,80.08,0.10,1155000
14,3,11,11,PASS,80.08,0.00,1175000
12,9,3,3,PASS,80.18,0.10,1195000
6,12,26,26,PASS,80.27,0.10,1215000
11,14,29,29,PASS,80.37,0.10,1235000
11,5,6,6,PASS,80.47,0.10,1255000
9,12,29,29,PASS,80.57,0.10,1275000
4,0,4,4,PASS,80.66,0.10,1295000
11,4,7,7,PASS,80.66,0.00,1315000
13,3,10,10,PASS,80.76,0.10,1335000
12,15,29,29,PASS,80.86,0.10,1355000
1,6,27,27,PASS,80.96,0.10,1375000
7,0,7,7,PASS,81.05,0.10,1395000
2,14,20,20,PASS,81.15,0.10,1415000
3,13,22,22,PASS,81.25,0.10,1435000
2,12,22,22,PASS,81.35,0.10,1455000
13,4,9,9,PASS,81.35,0.00,1475000
7,7,0,0,PASS,81.35,0.00,1495000
4,1,3,3,PASS,81.45,0.10,1515000
14,9,5,5,PASS,81.45,0.00,1535000
11,5,6,6,PASS,81.45,0.00,1555000
10,13,29,29,PASS,81.45,0.00,1575000
15,11,4,4,PASS,81.54,0.10,1595000
6,12,26,26,PASS,81.54,0.00,1615000
10,15,27,27,PASS,81.64,0.10,1635000
8,13,27,27,PASS,81.64,0.00,1655000
9,14,27,27,PASS,81.64,0.00,1675000
14,6,8,8,PASS,81.74,0.10,1695000
8,11,29,29,PASS,81.84,0.10,1715000
6,3,3,3,PASS,81.93,0.10,1735000
10,10,0,0,PASS,82.03,0.10,1755000
1,14,19,19,PASS,82.13,0.10,1775000
3,1,2,2,PASS,82.23,0.10,1795000
4,3,1,1,PASS,82.32,0.10,1815000
10,2,8,8,PASS,82.42,0.10,1835000
0,0,0,0,PASS,82.52,0.10,1855000
13,5,8,8,PASS,82.52,0.00,1875000
4,6,30,30,PASS,82.52,0.00,1895000
4,6,30,30,PASS,82.52,0.00,1915000
0,9,23,23,PASS,82.62,0.10,1935000
3,1,2,2,PASS,82.62,0.00,1955000
15,13,2,2,PASS,82.71,0.10,1975000
6,5,1,1,PASS,82.71,0.00,1995000
10,7,3,3,PASS,82.81,0.10,2015000
7,9,30,30,PASS,82.91,0.10,2035000
6,8,30,30,PASS,83.01,0.10,2055000
8,12,28,28,PASS,83.11,0.10,2075000
4,8,28,28,PASS,83.20,0.10,2095000
15,11,4,4,PASS,83.20,0.00,2115000
14,1,13,13,PASS,83.30,0.10,2135000
1,2,31,31,PASS,83.40,0.10,2155000
4,2,2,2,PASS,83.50,0.10,2175000
13,0,13,13,PASS,83.59,0.10,2195000
13,8,5,5,PASS,83.69,0.10,2215000
12,9,3,3,PASS,83.69,0.00,2235000
9,15,26,26,PASS,83.79,0.10,2255000
13,3,10,10,PASS,83.79,0.00,2275000
9,5,4,4,PASS,83.79,0.00,2295000
9,13,28,28,PASS,83.89,0.10,2315000
7,9,30,30,PASS,83.89,0.00,2335000
10,11,31,31,PASS,83.89,0.00,2355000
2,10,24,24,PASS,83.98,0.10,2375000
9,14,27,27,PASS,83.98,0.00,2395000
14,6,8,8,PASS,83.98,0.00,2415000
1,1,0,0,PASS,84.08,0.10,2435000
13,5,8,8,PASS,84.08,0.00,2455000
11,4,7,7,PASS,84.08,0.00,2475000
12,4,8,8,PASS,84.08,0.00,2495000
9,6,3,3,PASS,84.18,0.10,2515000
9,14,27,27,PASS,84.18,0.00,2535000
11,11,0,0,PASS,84.28,0.10,2555000
12,5,7,7,PASS,84.38,0.10,2575000
8,11,29,29,PASS,84.38,0.00,2595000
13,0,13,13,PASS,84.38,0.00,2615000
13,9,4,4,PASS,84.47,0.10,2635000
8,7,1,1,PASS,84.57,0.10,2655000
8,2,6,6,PASS,84.67,0.10,2675000
7,12,27,27,PASS,84.67,0.00,2695000
0,0,0,0,PASS,84.67,0.00,2715000
4,7,29,29,PASS,84.77,0.10,2735000
6,6,0,0,PASS,84.86,0.10,2755000
12,0,12,12,PASS,84.96,0.10,2775000
6,4,2,2,PASS,85.06,0.10,2795000
14,11,3,3,PASS,85.06,0.00,2815000
9,10,31,31,PASS,85.16,0.10,2835000
1,4,29,29,PASS,85.25,0.10,2855000
14,1,13,13,PASS,85.25,0.00,2875000
13,6,7,7,PASS,85.25,0.00,2895000
4,1,3,3,PASS,85.25,0.00,2915000
2,2,0,0,PASS,85.35,0.10,2935000
8,14,26,26,PASS,85.45,0.10,2955000
2,0,2,2,PASS,85.45,0.00,2975000
7,14,25,25,PASS,85.45,0.00,2995000
1,6,27,27,PASS,85.45,0.00,3015000
12,1,11,11,PASS,85.55,0.10,3035000
13,9,4,4,PASS,85.55,0.00,3055000
8,5,3,3,PASS,85.64,0.10,3075000
7,12,27,27,PASS,85.64,0.00,3095000
7,7,0,0,PASS,85.64,0.00,3115000
12,6,6,6,PASS,85.74,0.10,3135000
